id,move_id,account_id,partner_id,date,name,debit,credit,balance,currency_id,analytic_distribution,reconciled
292,"[103, 'INV/2026/00046']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,True
293,"[103, 'INV/2026/00046']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00046,1.16,0.0,1.16,"[33, 'MXN']",False,True
288,"[102, 'INV/2026/00045']","[4326, 'Sales and/or services taxed at the general rate']","[5731, 'Decoraciones Avanzadas Dekora S.A.']",2026-05-03,"VERACRUZ CC PRIMERA (PROPIO, LAMINA, MASILLA, S/ACABADO, 1.6)",0.0,1287822.0,-1287822.0,"[1, 'USD']",False,False
289,"[102, 'INV/2026/00045']","[4303, 'VAT carried forward not collected']","[5731, 'Decoraciones Avanzadas Dekora S.A.']",2026-05-03,16%,0.0,206051.52,-206051.52,"[1, 'USD']",False,False
290,"[102, 'INV/2026/00045']","[4265, 'Domestic customers']","[5731, 'Decoraciones Avanzadas Dekora S.A.']",2026-05-03,INV/2026/00045,1493873.52,0.0,1493873.52,"[1, 'USD']",False,False
326,"[114, 'CBMX/2026/05/0005 (INV/2026/00050)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00050 - PBNK1/2026/00018,1.0,0.0,1.0,"[33, 'MXN']",False,False
327,"[114, 'CBMX/2026/05/0005 (INV/2026/00050)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00050 - PBNK1/2026/00018,0.0,1.0,-1.0,"[33, 'MXN']",False,False
328,"[114, 'CBMX/2026/05/0005 (INV/2026/00050)']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.16,0.0,0.16,"[33, 'MXN']",False,True
329,"[114, 'CBMX/2026/05/0005 (INV/2026/00050)']","[4301, 'VAT carried forward collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
319,"[112, 'CBMX/2026/05/0004 (INV/2026/00048)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00048 - PBNK1/2026/00018,1.0,0.0,1.0,"[33, 'MXN']",False,False
320,"[112, 'CBMX/2026/05/0004 (INV/2026/00048)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00048 - PBNK1/2026/00018,0.0,1.0,-1.0,"[33, 'MXN']",False,False
321,"[112, 'CBMX/2026/05/0004 (INV/2026/00048)']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.16,0.0,0.16,"[33, 'MXN']",False,True
322,"[112, 'CBMX/2026/05/0004 (INV/2026/00048)']","[4301, 'VAT carried forward collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
315,"[111, 'CBMX/2026/05/0003 (INV/2026/00049)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00049 - PBNK1/2026/00018,1.0,0.0,1.0,"[33, 'MXN']",False,False
316,"[111, 'CBMX/2026/05/0003 (INV/2026/00049)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00049 - PBNK1/2026/00018,0.0,1.0,-1.0,"[33, 'MXN']",False,False
317,"[111, 'CBMX/2026/05/0003 (INV/2026/00049)']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.16,0.0,0.16,"[33, 'MXN']",False,True
318,"[111, 'CBMX/2026/05/0003 (INV/2026/00049)']","[4301, 'VAT carried forward collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
303,"[107, 'CBMX/2026/05/0002 (INV/2026/00047)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00047 - PBNK1/2026/00017,1.0,0.0,1.0,"[33, 'MXN']",False,False
